                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.2103,                  1.189,                 1.6942,                 0.7998,                0.84742,                 0.8974,                0.68922,                0.93475,                 1.0002,                 1.4868,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.1835,                 1.1686,                 1.6399,                0.77871,                0.84848,                0.88692,                0.67953,                0.93219,                0.99335,                 1.4774,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.2089,                 1.1475,                 1.6811,                0.75787,                0.87446,                0.88033,                 0.6651,                0.94875,                0.99033,                  1.481,               0.000317,               0.000317,               0.000317
                     87,                 1.1822,                 1.1701,                  1.684,                0.81409,                0.81515,                0.88647,                0.69829,                 0.9044,                0.99076,                 1.4468,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.1438,                 1.0877,                 1.6094,                0.76426,                0.87014,                 0.8949,                0.70497,                0.91622,                0.99024,                 1.4518,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.2191,                 1.1153,                 1.6892,                0.79178,                0.87247,                0.90008,                0.70927,                0.91066,                0.97965,                 1.4462,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.1745,                 1.1239,                 1.6803,                0.84192,                0.85304,                 0.9086,                0.71793,                0.90277,                0.95273,                  1.431,              0.0002378,              0.0002378,              0.0002378
                     91,                0.98802,                 1.2905,                 1.5086,                0.81414,                0.87446,                0.91133,                0.71666,                0.89733,                 0.9572,                 1.4178,               0.000218,               0.000218,               0.000218
                     92,                 1.0223,                  1.197,                 1.5474,                0.80783,                0.87013,                0.91933,                0.72435,                0.93259,                0.97635,                 1.4282,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.0073,                 1.1401,                 1.5231,                0.82476,                0.84416,                0.92088,                0.72344,                0.93905,                0.98273,                 1.4282,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.0027,                 1.1798,                 1.5355,                0.83992,                0.81768,                0.91645,                0.72457,                0.90259,                0.99957,                 1.4054,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.0196,                 1.1219,                 1.5253,                0.81431,                0.83983,                0.91592,                0.72799,                0.87964,                 0.9879,                 1.3962,              0.0001388,              0.0001388,              0.0001388
                     96,                 0.9485,                 1.0358,                 1.4934,                0.84302,                0.81366,                0.91998,                0.73785,                0.88148,                0.96674,                 1.3958,               0.000119,               0.000119,               0.000119
                     97,                0.96273,                 1.0372,                 1.4711,                0.76732,                0.92641,                0.92328,                0.73835,                0.88138,                 0.9465,                 1.3946,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.96249,                  1.043,                 1.4979,                0.78823,                0.91845,                0.92488,                0.73993,                0.88074,                0.92082,                 1.3895,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.93693,                 1.1119,                 1.4423,                0.81766,                0.89177,                0.92359,                0.74187,                0.86963,                0.91217,                  1.382,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.90695,                 1.0402,                 1.4588,                0.80711,                0.90476,                0.91979,                0.74002,                0.85786,                0.91073,                 1.3785,               3.98e-05,               3.98e-05,               3.98e-05
